========== FILE: canara1m.pdf ==========


======= PAGE 1 =======

text='43.00'                                  x0=  460.3 x1=  490.4 top=  742.5 bottom=  754.5
text='972.34'                                 x0=  544.5 x1=  581.1 top=  742.5 bottom=  754.5
text='0F130DF6786/27/11/2025'                 x0=  106.6 x1=  246.7 top=  748.5 bottom=  760.5
text='16:04:14'                               x0=  106.6 x1=  153.3 top=  760.5 bottom=  772.5
text='Chq:'                                   x0=  106.6 x1=  132.0 top=  784.5 bottom=  796.5
text='743524217072'                           x0=  135.3 x1=  215.4 top=  784.5 bottom=  796.5
text='page'                                   x0=  531.6 x1=  558.3 top=  802.5 bottom=  814.5
text='3'                                      x0=  561.7 x1=  568.3 top=  802.5 bottom=  814.5

======= PAGE 4 =======

text='Date'                                   x0=   43.6 x1=   68.9 top=   40.5 bottom=   52.5
text='Particulars'                            x0=  167.1 x1=  223.8 top=   40.5 bottom=   52.5
text='Deposits'                               x0=  320.6 x1=  367.2 top=   40.5 bottom=   52.5
text='Withdrawals'                            x0=  413.3 x1=  478.6 top=   40.5 bottom=   52.5
text='Balance'                                x0=  517.1 x1=  560.4 top=   40.5 bottom=   52.5
text='UPI/DR/689874762737/LAKSHY'             x0=  106.6 x1=  281.4 top=   64.5 bottom=   76.5
text='A'                                      x0=  106.6 x1=  114.6 top=   76.5 bottom=   88.5
text='/SBIN/**GAR01@OKSBI/PAYME'              x0=  106.6 x1=  284.2 top=   88.5 bottom=  100.5
text='NT'                                     x0=  106.6 x1=  122.6 top=  100.5 bottom=  112.5
text='27-11-2025'                             x0=   26.6 x1=   87.9 top=  112.5 bottom=  124.5
text='//AXL0A39ADCABE8C415ABC7'               x0=  106.6 x1=  280.1 top=  112.5 bottom=  124.5
text='500.00'                                 x0=  453.7 x1=  490.4 top=  112.5 bottom=  124.5
text='472.34'                                 x0=  544.5 x1=  581.1 top=  112.5 bottom=  124.5
text='D83262BABB227/27/11/2025'               x0=  106.6 x1=  264.1 top=  124.5 bottom=  136.5
text='18:00:54'                               x0=  106.6 x1=  153.3 top=  136.5 bottom=  148.5
text='Chq:'                                   x0=  106.6 x1=  132.0 top=  160.5 bottom=  172.5
text='689874762737'                           x0=  135.3 x1=  215.4 top=  160.5 bottom=  172.5
text='UPI/DR/018673060016/DMRC'               x0=  106.6 x1=  270.0 top=  184.5 bottom=  196.5
text='LIMI/ICIC/**C.ZKP@ICICI/PAYM'           x0=  106.6 x1=  282.2 top=  196.5 bottom=  208.5
text='ENT'                                    x0=  106.6 x1=  130.6 top=  208.5 bottom=  220.5
text='//YBL5B5B1C9AE99F4F9F95E8'              x0=  106.6 x1=  280.1 top=  220.5 bottom=  232.5
text='27-11-2025'                             x0=   26.6 x1=   87.9 top=  226.5 bottom=  238.5
text='43.00'                                  x0=  460.3 x1=  490.4 top=  226.5 bottom=  238.5
